name,url,language,stars,description
"jina-ai/serve","https://github.com/jina-ai/serve","Python",21830,"☁️ Build multimodal AI applications with cloud-native stack"
"falconry/falcon","https://github.com/falconry/falcon","Python",9785,"The no-magic web API and microservices framework for Python developers, with a focus on reliability "
"emissary-ingress/emissary","https://github.com/emissary-ingress/emissary","Python",4488,"open source Kubernetes-native API gateway for microservices built on the Envoy Proxy"
"ml-tooling/opyrator","https://github.com/ml-tooling/opyrator","Python",3134,"🪄 Turns your machine learning code into microservices with web API, interactive GUI, and more."
"cheshire-cat-ai/core","https://github.com/cheshire-cat-ai/core","Python",2955,"AI agent microservice"
"NVIDIA/nv-ingest","https://github.com/NVIDIA/nv-ingest","Python",2830,"NeMo Retriever extraction is a scalable, performance-oriented document content and metadata extracti"
"umermansoor/microservices","https://github.com/umermansoor/microservices","Python",1122,"Example of Microservices written using Flask."
"yashab-cyber/HackGpt","https://github.com/yashab-cyber/HackGpt","Python",773,"HackGPT Enterprise is a production-ready, cloud-native AI-powered penetration testing platform desig"
"minos-framework/minos-python","https://github.com/minos-framework/minos-python","Python",469,"🐍 Minos is a framework which helps you create reactive microservices in Python"
"GetBindu/Bindu","https://github.com/GetBindu/Bindu","Python",446,"Bindu: Turn any AI agent into a living microservice -  interoperable, observable, composable."
"kimtth/software-architect-mindmap","https://github.com/kimtth/software-architect-mindmap","Python",386,"🧠Mindmap of 🗺️Software Architecture, Software engineering: An Overview of Software Terminologies and"
"dymmond/ravyn","https://github.com/dymmond/ravyn","Python",383,"Ravyn combines performance, type safety, and elegance. A next-generation async Python framework for "
"Agentfy-io/Agentfy","https://github.com/Agentfy-io/Agentfy","Python",377,"🤖 Agentfy is a modular microservices architecture designed to process user requests and execute work"
"AgnetLabs/Laddr","https://github.com/AgnetLabs/Laddr","Python",337,"Laddr is a python framework for building multi-agent systems where agents communicate, delegate task"
"fizzbee-io/fizzbee","https://github.com/fizzbee-io/fizzbee","Python",276,"Easiest-ever formal methods language! Designed for developers crafting distributed systems, microser"
"alechilczenko/kimi","https://github.com/alechilczenko/kimi","Python",255,"Attack Surface Discovery tool built on a microservice approach, utilizing multi-threading for fast, "
"armadaplatform/armada","https://github.com/armadaplatform/armada","Python",250,"Complete solution for development, deployment, configuration and discovery of microservices."
"kalaspuff/tomodachi","https://github.com/kalaspuff/tomodachi","Python",205,"💻 Microservice lib designed to ease service building using Python and asyncio, with ready to use sup"
"DaoCloud/DaoCloud-docs","https://github.com/DaoCloud/DaoCloud-docs","Python",200,"DaoCloud Enterprise 5.0 Documentation"
"keijack/python-eureka-client","https://github.com/keijack/python-eureka-client","Python",196,"A eureka client written in python. Support registering your python component to Eureka Server, as we"
"Hecate2/Ignareo-ISML-auto-voter","https://github.com/Hecate2/Ignareo-ISML-auto-voter","Python",189,"Ignareo the Carillon, a web crawler/spider template of ultimate high concurrency built for leprechau"
"apidoorman/doorman","https://github.com/apidoorman/doorman","Python",177,"A Python Cloud Native API Gateway and User Management Platform"
